open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1698796800000,17.48,17.49,17.45,17.47,1528.35,1698796859999,26683.525,95,910.01,15887.6004,0
1698796860000,17.47,17.48,17.42,17.42,745.21,1698796919999,13005.5286,70,185.08,3228.3108,0
1698796920000,17.42,17.43,17.38,17.42,2191.49,1698796979999,38134.9912,125,687.11,11961.4384,0
1698796980000,17.42,17.43,17.4,17.41,1330.45,1698797039999,23169.4745,64,157.39,2740.4156,0
1698797040000,17.4,17.41,17.38,17.39,743.97,1698797099999,12936.3886,58,77.71,1351.5709,0
1698797100000,17.39,17.44,17.39,17.43,1787.06,1698797159999,31123.868,70,368.67,6420.1998,0
1698797160000,17.43,17.5,17.43,17.5,1706.81,1698797219999,29817.2978,113,599.48,10472.576,0
1698797220000,17.51,17.62,17.51,17.56,4491.6,1698797279999,78941.4449,521,1960.13,34464.4404,0
1698797280000,17.56,17.62,17.56,17.61,6444.22,1698797339999,113431.676,312,4016.57,70709.8298,0
1698797340000,17.61,17.77,17.61,17.74,12290.6,1698797399999,217790.8838,858,6007.94,106411.1973,0
1698797400000,17.73,17.8,17.69,17.73,8825.16,1698797459999,156502.7921,595,5039.11,89412.1343,0
1698797460000,17.73,17.83,17.72,17.81,12206.67,1698797519999,217131.2518,661,8618.89,153306.5335,0
1698797520000,17.81,17.81,17.66,17.67,4603.12,1698797579999,81602.2485,436,1937.65,34341.6943,0
1698797580000,17.66,17.71,17.62,17.71,2695.13,1698797639999,47600.9627,238,1840.68,32519.9682,0
1698797640000,17.71,17.71,17.66,17.67,977.45,1698797699999,17274.9304,77,379.42,6706.4719,0
1698797700000,17.67,17.79,17.67,17.79,4902.31,1698797759999,87056.3238,317,2822.43,50112.6564,0
1698797760000,17.79,17.84,17.75,17.79,8542.2,1698797819999,151976.0255,457,4959.04,88228.844,0
1698797820000,17.79,17.79,17.75,17.75,3049.11,1698797879999,54177.1116,174,1779.49,31615.7992,0
1698797880000,17.76,17.79,17.75,17.78,1918.51,1698797939999,34077.9726,103,798.17,14182.5564,0
1698797940000,17.78,17.78,17.73,17.73,1147.89,1698797999999,20387.5041,91,491.29,8726.5482,0
1698798000000,17.72,17.75,17.71,17.71,1931.72,1698798059999,34245.0616,140,509.77,9044.1054,0
1698798060000,17.71,17.79,17.7,17.72,2729.25,1698798119999,48413.1555,141,1543.34,27401.7071,0
1698798120000,17.71,17.71,17.65,17.65,1945.88,1698798179999,34380.8022,120,841.65,14873.0489,0
1698798180000,17.65,17.65,17.61,17.62,580.58,1698798239999,10231.9127,76,209.29,3689.5464,0
1698798240000,17.62,17.64,17.6,17.63,526.88,1698798299999,9285.2346,59,330.97,5833.9742,0
1698798300000,17.63,17.64,17.6,17.63,215.88,1698798359999,3806.645,31,114.92,2026.7447,0
1698798360000,17.63,17.66,17.61,17.66,241.23,1698798419999,4255.7713,25,198.69,3506.3887,0
1698798420000,17.65,17.69,17.64,17.67,506.16,1698798479999,8937.4725,52,275.67,4867.2845,0
1698798480000,17.68,17.71,17.67,17.71,384.11,1698798539999,6793.0047,37,177.72,3143.5004,0
1698798540000,17.71,17.72,17.68,17.68,543.09,1698798599999,9605.438,44,209.17,3698.2076,0
1698798600000,17.68,17.68,17.65,17.66,531.29,1698798659999,9391.3271,34,336.14,5942.1508,0
1698798660000,17.67,17.7,17.67,17.68,386.95,1698798719999,6844.9687,35,180.62,3195.0344,0
1698798720000,17.68,17.71,17.68,17.71,249.24,1698798779999,4410.2956,17,27.8,491.8119,0
1698798780000,17.72,17.78,17.71,17.78,1680.69,1698798839999,29827.6764,140,932.24,16550.4268,0
1698798840000,17.79,17.84,17.79,17.84,914.16,1698798899999,16284.7386,141,643.02,11455.2036,0
1698798900000,17.84,17.84,17.81,17.82,1361.8,1698798959999,24277.983,70,608.25,10842.4069,0
1698798960000,17.83,17.83,17.81,17.81,761.07,1698799019999,13567.7585,41,485.43,8654.5596,0
1698799020000,17.82,17.93,17.78,17.91,12230.92,1698799079999,218470.3385,705,9802.82,175113.4103,0
1698799080000,17.91,17.91,17.83,17.86,3484.35,1698799139999,62266.0536,260,1253.83,22391.8129,0
1698799140000,17.87,17.87,17.83,17.83,3196.91,1698799199999,57060.1971,115,1009.15,18022.8476,0
1698799200000,17.83,17.86,17.82,17.82,1348.81,1698799259999,24051.4209,56,765.44,13651.8793,0
1698799260000,17.81,17.87,17.8,17.85,1945.52,1698799319999,34701.27,126,1494.17,26654.029,0
1698799320000,17.84,17.86,17.82,17.85,5407.22,1698799379999,96467.5491,201,1345.44,24006.8082,0
